cubic,westwood,bbr,scalable,bic,highspeed,htcp,hybla,illinois,vegas,yeah,reno
1.112632,1.111896,0.967624,1.113336,1.10752,1.115096,1.11376,1.117112,1.110368,1.112848,1.110544,1.108896
1.08784,1.097304,1.05664,1.087816,1.090696,1.080608,1.079264,1.083136,1.078744,1.07836,1.052344,1.084832
1.085008,1.078936,1.045464,1.087664,1.074768,1.084712,1.084344,1.087936,1.09164,1.086528,1.086104,1.081368
1.084344,1.076504,1.05204,1.083496,1.018152,1.082096,1.085912,1.085784,1.080104,1.068008,1.045712,1.081504
1.085232,1.084632,1.06748,1.086344,1.08428,1.084832,1.083184,1.085168,1.085696,1.071112,1.084632,1.079528
1.086384,1.082776,1.051848,1.085264,1.08556,1.07988,1.083032,1.086096,1.077864,1.082512,1.079464,1.06052
1.08248,1.08708,1.068376,1.085504,1.087544,1.087824,1.085424,1.077368,1.079,1.07544,1.083432,1.058
1.082944,1.081928,1.055312,1.085864,1.08036,1.086328,1.087408,1.08392,1.08212,1.078912,1.059856,1.087064
1.088992,1.087272,1.039408,1.08044,1.081832,1.087072,1.0854,1.080768,1.08124,1.086832,1.059336,1.081152
1.086152,1.081184,0.981256,1.08972,1.084672,1.07836,1.079608,1.088784,1.08184,1.086464,1.058496,1.068016
1.086208,1.081192,1.049744,1.08344,1.077872,1.08644,1.0858,1.08444,1.086008,1.084392,1.055656,1.046368
1.084136,1.08196,1.041232,1.087048,1.078784,1.086536,1.081184,1.079984,1.08616,1.078264,1.080664,1.041224
1.087416,1.086752,1.048184,1.085592,1.076264,1.080736,1.088072,1.079984,1.079064,1.087,1.085744,1.10868
1.08532,1.083184,1.017296,1.082048,1.078968,1.080952,1.084472,1.086768,1.078472,1.085168,1.089912,1.08552
1.082328,1.084352,1.085616,1.088632,1.087496,1.086488,1.083232,1.086016,1.085624,1.075936,1.083128,1.083808
1.080888,1.085824,1.065728,1.080152,1.086176,1.082752,1.079688,1.02532,1.082176,1.074728,1.084552,1.058744
1.085336,1.084448,1.069304,1.0884,1.02464,1.08236,1.079392,1.07992,1.076872,1.085696,1.08688,1.082392
1.081152,1.084096,1.030576,1.084728,1.085992,1.083056,1.083144,1.07664,1.086832,1.075168,1.084808,1.08308
1.083552,1.083368,1.015368,1.080064,1.073256,1.086704,1.081704,1.084488,1.086088,1.0774,1.056064,1.085872
1.084328,1.080832,1.072264,1.086248,1.078152,1.08136,1.08096,1.079144,1.075472,1.077656,1.084816,1.08324
1.08752,1.080392,1.068632,1.083608,1.071416,1.084752,1.08476,1.079048,1.086896,1.08664,1.080856,1.064544
1.08676,1.087328,1.06864,1.08664,1.079816,1.080656,1.081648,1.077808,1.086072,1.085624,1.042664,1.05264
1.085288,1.077312,1.050016,1.086496,1.087104,1.086328,1.082872,1.077752,1.077888,1.07348,1.08904,1.056208
1.084056,1.087592,1.072736,1.084216,1.075432,1.084312,1.080008,1.06852,1.085928,1.075032,1.05292,1.06196
1.082304,1.081896,1.051808,1.085368,1.083768,1.083,1.091544,1.088864,1.081064,1.076128,1.083128,1.066536
1.078816,1.08476,1.04112,1.084984,1.077552,1.082248,1.087488,1.088872,1.081,1.075376,1.08144,1.05944
1.08104,1.076296,1.001296,1.082896,1.08628,1.08504,1.085752,1.075368,1.086384,1.075272,1.04844,1.084616
1.08552,1.087656,1.075856,1.084904,1.072384,1.079536,1.086736,1.088792,1.086632,1.073128,1.084944,1.066608
1.081032,1.085968,1.069504,1.08596,1.07668,1.081248,1.073312,1.085952,1.075576,1.087024,1.08256,1.065464
1.084648,1.08536,1.086248,1.07988,1.076072,1.075552,1.086096,1.087192,1.081528,1.085624,1.042016,1.071352
1.083376,1.085256,1.069912,1.091024,1.085448,1.079536,1.07336,1.0862,1.087176,1.074992,1.085376,1.055152
1.085848,1.08648,1.052608,1.086032,1.085656,1.085952,1.094048,1.086176,1.080832,1.068552,1.08764,1.051856
1.08496,1.086472,1.052424,1.086704,1.077032,1.087656,1.09292,1.079592,1.07964,1.072824,1.027,1.098392
1.085016,1.0768,1.0912,1.082816,1.085368,1.07796,1.084776,1.086264,1.07876,1.070568,1.086544,1.088472
1.084648,1.08568,1.082664,1.08644,1.084392,1.079136,1.085672,1.079528,1.084016,1.077136,1.049288,1.057384
1.089208,1.086552,1.079776,1.086656,1.087992,1.085712,1.08156,1.08276,1.088944,1.085928,1.061064,1.057432
1.080992,1.081176,1.066624,1.081944,1.084616,1.086096,1.08088,1.078368,1.076224,1.08612,1.053288,1.046176
1.085376,1.086416,1.076576,1.086824,1.07924,1.07384,1.085112,1.08652,1.054192,1.085704,1.08556,1.074688
1.08324,1.085632,1.069888,1.085232,1.074968,1.088472,1.080008,1.08576,1.088256,1.087016,1.04028,1.089896
