cubic, westwood, bbr, scalable, bic, highspeed, htcp, hybla, illinois, vegas, yeah, reno
12.183768,26.713128,106.677448,29.818912,0.528592,1.368328,63.269632,27.94288,9.888432,20.094936,42.950864,94.66684
2.016672,2.664832,78.878976,33.129616,0.719008,1.296272,89.825152,3.003392,31.974104,1.031496,34.58656,65.091112
1.714192,3.222296,77.259544,1.478536,0.826896,15.57108,2.930728,4.098096,55.06152,0.73032,24.271432,60.972304
10.268744,3.500336,95.95076,1.83428,0.999368,16.393408,3.139952,7.611856,58.833968,16.875208,1.34792,60.604568
1.627872,2.874184,89.0374,1.816584,74.2328,29.002832,55.243096,43.529808,5.833296,1.266768,2.4228,3.303688
1.646288,17.7522,105.975288,1.866632,75.660464,30.746584,64.838752,15.557112,14.387816,33.240256,18.316152,2.531976
2.096952,33.084792,107.511256,15.324488,111.200112,0.942624,22.212512,21.934304,4.695792,1.37028,2.018232,2.853696
42.670616,27.02548,98.17848,34.63428,1.010088,1.65112,2.707904,22.12896,6.429152,16.357144,2.302576,16.92284
74.583304,3.17616,71.703136,28.370016,38.480832,2.733568,2.798968,4.726728,30.633328,1.62752,2.766736,2.494208
2.097608,17.473232,78.868776,29.988832,0.9604,3.177616,3.002456,4.716056,39.684336,32.35528,2.375168,26.340472
2.489504,1.682104,69.25088,1.6676,1.533944,16.285664,1.925376,5.078624,34.602104,25.736488,19.684824,2.34256
44.380728,17.35472,76.451568,1.492032,2.455384,29.456032,43.87116,33.515808,22.44384,29.360848,38.445232,3.359888
87.570192,2.402744,67.495096,1.173016,43.06272,5.791264,73.435128,39.038272,18.871768,1.150328,40.099984,3.642656
80.088024,18.12064,93.867408,15.016544,88.42276,4.010328,2.450904,48.461544,4.765024,1.1794,48.193968,3.815624
2.32624,2.61856,99.284736,1.701664,97.317536,15.71904,3.035544,48.150544,6.367464,17.45076,2.568304,3.676848
44.127432,9.154664,106.835432,14.287296,101.875488,30.280896,53.300872,3.964272,6.91572,31.128464,2.19936,15.400008
2.26896,3.531336,73.176912,1.735296,3.190864,31.019496,40.530512,4.019536,6.16976,1.320608,1.8124,26.095488
43.636536,1.817504,87.354824,40.81524,2.227016,32.7536,63.295864,38.56012,11.644392,1.223024,2.0374,3.875672
3.332984,1.908784,81.14804,42.468008,66.6452,3.78184,42.481104,38.867352,11.031472,1.24344,18.396504,27.377576
42.595968,18.112392,78.069424,1.86144,3.603048,2.529072,1.677576,4.216744,8.30148,1.41896,19.45516,2.588744
3.752408,24.766072,105.384928,15.229456,2.945488,18.093048,2.995432,4.698416,15.79,15.737496,1.68948,16.080392
41.012776,4.501384,104.70256,1.924608,36.248064,3.549472,2.929824,4.331848,6.427472,8.821496,1.57324,3.833792
