cubic, westwood, bbr, scalable, bic, highspeed, htcp, hybla, illinois, vegas, yeah, reno
87.60466768, 84.9694824, 88.4393692, 88.44410704, 88.88359072, 88.5635376, 89.58770752, 85.14903256, 80.12326816, 86.53153232, 89.59380344, 89.65971376
88.25572968, 89.73706056, 87.98645784, 88.36517336, 87.71246336, 89.54882048, 89.21073912, 89.36315152, 89.68492888, 84.33029176, 89.68878176, 89.7450256
88.64030456, 89.74960328, 87.60961152, 87.30646512, 87.6328888, 89.48770904, 88.91947176, 89.72422792, 73.14842987, 86.58406832, 86.79906464, 89.06884
88.64266208, 89.68239592, 88.75585176, 88.93803408, 88.54981992, 84.02681736, 89.54335784, 88.76159664, 87.95118712, 86.43772888, 88.1589584, 89.71551512
88.68830872, 89.06517032, 87.27069088, 87.9805756, 88.58716584, 88.917038, 89.66042328, 87.61562344, 89.69764712, 86.83486936, 89.38203432, 89.74871824
87.71160128, 89.47386168, 88.0898056, 85.25264736, 88.64392088, 89.30598448, 89.18662264, 89.66049192, 89.43761448, 87.75472256, 86.4435272, 89.72748568
88.48435208, 88.68912504, 87.3744736, 89.04572296, 88.35900112, 89.01081088, 89.50766752, 88.57480624, 89.21130368, 87.79175568, 89.3038864, 89.76000216
87.65631104, 89.47277832, 86.84740448, 87.04779816, 88.0317764, 85.90367888, 88.95168304, 89.18597416, 89.6192932, 83.69950104, 89.02764128, 89.49787904
89.71826936, 89.71022032, 88.10572816, 88.75919344, 89.01929472, 89.45539856, 89.64262392, 89.63748168, 89.55580136, 86.2034912, 89.34027096, 89.7565308
89.25834656, 89.73773192, 88.07731632, 88.4639664, 88.81513976, 89.28792576, 88.72071072, 89.68709568, 89.5178528, 87.40093992, 88.79781344, 89.7465668
88.7472992, 89.34699248, 86.7604828, 86.9827652, 88.50839232, 89.40307616, 89.3312836, 88.05749512, 89.62390136, 88.26367184, 86.69510648, 89.72599792
89.2240524, 89.70665744, 82.49196624, 86.11133576, 87.16056824, 88.94219208, 89.14717104, 89.33444216, 89.52199552, 87.88408664, 89.01997376, 89.7562256
89.64414976, 89.75694272, 81.84191128, 87.26777648, 89.16224672, 88.86725616, 89.6503296, 89.72169496, 89.62741848, 87.37527464, 89.37699888, 89.65290072
89.72206112, 89.68368528, 88.5411224, 84.47572328, 88.10035704, 88.93962864, 86.4425812, 89.47214512, 89.68743136, 83.40940856, 88.62347416, 89.75629424
89.74694824, 88.75904848, 88.99524688, 85.00936128, 88.95240024, 89.44845584, 88.3629532, 84.42189792, 89.70136264, 84.54995728, 89.58032224, 89.19167328
89.745018, 89.55625152, 89.03803256, 86.8573608, 89.74929808, 89.62179568, 88.59941864, 89.74333192, 88.86137392, 86.05519104, 89.17600248, 89.75079344
88.57216648, 89.41094208, 89.02098848, 82.69294736, 89.42665864, 89.39113616, 82.44438936, 89.1694336, 89.59393312, 77.54741669, 89.45137784, 89.75541688
88.754776, 89.7445984, 88.96270752, 85.39406584, 88.27525328, 88.54978944, 87.40539552, 89.41835784, 89.41677856, 86.29365536, 88.9013748, 89.53212736
89.570694, 89.7531204, 88.66998288, 89.12934872, 89.30484008, 89.60152432, 89.57211304, 89.73569488, 89.55822752, 86.45485688, 89.73441312, 89.75981904
89.606514, 89.73055264, 88.79405976, 88.84255216, 89.67644504, 88.98604584, 88.33812712, 89.66649624, 89.6449356, 86.68932344, 88.85162352, 89.65663144
89.66472624, 89.37848664, 88.89041904, 88.0121384, 89.30857088, 88.57881168, 89.66847232, 89.39765928, 89.61217496, 86.24529264, 88.90263368, 89.7520752
89.71232608, 89.75697328, 88.99420168, 86.97206112, 89.00209808, 89.17469784, 89.66169736, 89.50659176, 87.43804928, 86.65975952, 89.65919496, 89.71673584
88.79473112, 89.50827792, 88.71627048, 86.59647368, 82.59870144, 88.70198824, 89.258728, 88.9396896, 86.40648648, 71.13465882, 88.99145504, 89.74653624
89.69535064, 89.7582092, 89.02592472, 88.50029752, 84.39261624, 88.70225528, 89.44878384, 89.21359256, 89.60619352, 87.11320496, 89.72760776, 89.12815856
88.82920072, 89.73580168, 88.40985872, 88.98861696, 83.36885072, 88.73263552, 88.95184328, 88.965126, 89.02651976, 87.1380768, 89.0374832, 89.22241976
89.48631288, 89.69533536, 88.990242, 89.17942808, 83.72963712, 89.46176912, 87.89443968, 89.71039584, 79.11293793, 87.5519028, 89.69147488, 89.76284792
84.79798888, 89.50628664, 89.03829192, 85.43634032, 84.88701632, 85.85098264, 88.54933928, 89.7163696, 77.75659942, 86.89453128, 88.55122376, 89.71450808
88.37289432, 89.74952696, 89.02586368, 88.13115696, 80.30152896, 89.19488528, 89.2209396, 89.66864776, 78.808815, 86.81621552, 89.69194792, 89.71015168
87.77696232, 88.8965988, 88.9837952, 88.0440216, 80.10779568, 89.60452272, 89.59655, 89.50214384, 81.66674808, 87.06342312, 88.800148, 89.36664584
88.65341952, 89.75825504, 88.71519472, 88.59711456, 85.21546936, 89.53994752, 76.38694763, 87.42709352, 89.07207488, 86.5896072, 89.73804472, 89.73612976
88.72824096, 89.75055696, 88.27650448, 86.99519352, 85.13369752, 89.55447384, 56.30647278, 89.7314224, 89.71060944, 84.11447904, 89.080452, 89.55444336
88.73561856, 89.4260712, 88.9923096, 85.58501432, 89.68846896, 89.57605744, 45.38858032, 89.3497696, 89.6401672, 86.26875304, 89.70512392, 89.74645232
88.52837368, 89.734436, 89.01446536, 87.48046112, 87.7744064, 89.13011168, 88.9039612, 88.95367432, 89.44992832, 85.6639404, 88.6933136, 89.68058016
87.7513504, 87.84390256, 89.04285432, 89.44665528, 88.09598544, 88.71041104, 89.51690672, 89.60388944, 89.34587096, 87.92790984, 88.19297024, 89.64517976
86.5809708, 89.75229648, 88.79129792, 88.24952696, 87.39398192, 89.5169296, 88.37298584, 89.44306184, 89.6171112, 86.27607728, 89.0671692, 89.69328312
89.7067032, 89.74208832, 88.95438384, 88.7019272, 87.84774016, 89.75272368, 88.61062624, 86.67053984, 88.99819944, 85.73928832, 88.43348696, 89.72602848
89.73756408, 89.74188232, 89.04507448, 88.69368744, 88.5574036, 89.56631472, 88.81704712, 89.6008072, 89.00107576, 87.45103456, 89.72146608, 89.73352048
89.74115752, 89.7249756, 89.03253176, 88.88014984, 88.64199064, 87.2152252, 80.7416, 89.65088656, 89.52650448, 87.10366824, 89.72946928, 89.67668152
